Entity,Code,Year,GDP (Fouquin and Hugot (CEPII 2016))
Afghanistan,AFG,1956,99107184
Afghanistan,AFG,1957,101785760
Afghanistan,AFG,1958,104464328
Afghanistan,AFG,1959,107589328
Afghanistan,AFG,1960,192063584
Afghanistan,AFG,1961,196031840
Afghanistan,AFG,1962,195238192
Afghanistan,AFG,1963,268254112
Afghanistan,AFG,1964,285714432
Afghanistan,AFG,1965,359523968
Afghanistan,AFG,1966,500000224
Afghanistan,AFG,1967,605919040
Afghanistan,AFG,1968,572222720
Afghanistan,AFG,1969,587037568
Afghanistan,AFG,1970,728703360
Afghanistan,AFG,1971,752439296
Afghanistan,AFG,1972,638844416
Afghanistan,AFG,1973,707496384
Afghanistan,AFG,1974,922051840
Afghanistan,AFG,1975,1069830272
Afghanistan,AFG,1976,1422192128
Afghanistan,AFG,1977,1693063424
Afghanistan,AFG,1978,1720966528
Afghanistan,AFG,1979,1746097024
Afghanistan,AFG,1980,1567015296
Afghanistan,AFG,1981,1731187456
Afghanistan,AFG,1982,2585170432
Afghanistan,AFG,1983,2632896512
Afghanistan,AFG,1984,1972741504
Afghanistan,AFG,1985,1950452736
Afghanistan,AFG,1986,1624993280
Afghanistan,AFG,1987,1101413632
Afghanistan,AFG,1988,944245888
Afghanistan,AFG,1989,1589049728
Afghanistan,AFG,2001,1710008832
Afghanistan,AFG,2002,2754842112
Afghanistan,AFG,2003,2807356416
Afghanistan,AFG,2004,2886813696
Afghanistan,AFG,2005,3451279104
Afghanistan,AFG,2006,3835713024
Afghanistan,AFG,2007,4919676928
Afghanistan,AFG,2008,5543301632
Afghanistan,AFG,2009,8015606784
Afghanistan,AFG,2010,10313962496
Afghanistan,AFG,2011,11190998016
Afghanistan,AFG,2012,13000596480
Afghanistan,AFG,2013,12822858752
Afghanistan,AFG,2014,12185101312
Albania,ALB,1949,17987934
Albania,ALB,1950,30614300
Albania,ALB,1951,37142872
Albania,ALB,1952,39785732
Albania,ALB,1953,39821448
Albania,ALB,1954,38092872
Albania,ALB,1955,47264308
Albania,ALB,1956,52557168
Albania,ALB,1957,70085744
Albania,ALB,1958,108500048
Albania,ALB,1959,122785768
Albania,ALB,1960,125853632
Albania,ALB,1961,138339360
Albania,ALB,1962,113932200
Albania,ALB,1963,115800048
Albania,ALB,1964,142539344
Albania,ALB,1965,171178640
Albania,ALB,1966,200985808
Albania,ALB,1967,235533520
Albania,ALB,1968,309587744
Albania,ALB,1969,350162784
Albania,ALB,1970,399258656
Albania,ALB,1971,431046848
Albania,ALB,1972,466110016
Albania,ALB,1973,524365056
Albania,ALB,1974,576675008
Albania,ALB,1975,632776000
Albania,ALB,1976,808236096
Albania,ALB,1977,973920320
Albania,ALB,1978,1003412032
Albania,ALB,1979,1043132736
Albania,ALB,1980,703777536
Albania,ALB,1981,932235904
Albania,ALB,1982,1103792256
Albania,ALB,1983,1285922816
Albania,ALB,1984,1446658944
Albania,ALB,1985,1531517952
Albania,ALB,1986,1482925696
Albania,ALB,1987,1319696896
Albania,ALB,1988,1195173504
Albania,ALB,1989,1427165312
Albania,ALB,1990,1183586816
Albania,ALB,1991,645924544
Albania,ALB,1992,404227616
Albania,ALB,1993,818824960
Albania,ALB,1994,1297492864
Albania,ALB,1995,1536327424
Albania,ALB,1996,2124710528
Albania,ALB,1997,1441513856
Albania,ALB,1998,1634626304
Albania,ALB,1999,2110516992
Albania,ALB,2000,2400530432
Albania,ALB,2001,2820826368
Albania,ALB,2002,2959186432
Albania,ALB,2003,3519843584
Albania,ALB,2004,3995233024
Albania,ALB,2005,4487185408
Albania,ALB,2006,4887384064
Albania,ALB,2007,5348066304
Albania,ALB,2008,7007017984
Albania,ALB,2009,7731409408
Albania,ALB,2010,7718873600
Albania,ALB,2011,8045718528
Albania,ALB,2012,7799002624
Albania,ALB,2013,8175526400
Albania,ALB,2014,8069416960
Algeria,DZA,1950,469522080
Algeria,DZA,1951,540816576
Algeria,DZA,1952,632653376
Algeria,DZA,1953,653061568
Algeria,DZA,1954,704081984
Algeria,DZA,1955,755102400
Algeria,DZA,1956,928571840
Algeria,DZA,1957,1029029120
Algeria,DZA,1958,1023705152
Algeria,DZA,1959,1027216832
Algeria,DZA,1960,972728128
Algeria,DZA,1961,869560000
Algeria,DZA,1962,714807744
Algeria,DZA,1963,965358976
Algeria,DZA,1964,1039050496
Algeria,DZA,1965,1120102016
Algeria,DZA,1966,1085664512
Algeria,DZA,1967,1220602240
Algeria,DZA,1968,1605062656
Algeria,DZA,1969,1773857024
Algeria,DZA,1970,2026454784
Algeria,DZA,1971,2086332160
Algeria,DZA,1972,2707351552
